TSCT,SCAT_ID,PARALLEL_DIST,PERP_DIST,APPROX_N,VEG_TYPE,SUBSTRATE
10B3-2,409,11.7,50,21-50,NA,LL
10B3-2,410,20.3,105,21-50,NA,moss
10B3-2,411,21.3,13,21-50,NA,moss
10B3-2,412,87.25,53,21-50,NA,moss
10B3-3,415,18,53,11-20,ferns,moss
10B3-3,416,22.75,0,11-20,ferns,moss
10B3-6,419,80.2,20,NA,NA,LL
10B3-6,420,91.9,14,21-50,NA,LL
10B3-6,421,91.2,36,21-50,NA,LL
10B3-6,422,91.75,160,21-50,NA,LL
10B3-6,423,92.4,24,21-50,NA,NA
10B2-6,424,17.5,0,21-50,NA,moss
9A1-1,425,3.85,35,11-20,NA,LL
9A1-3,427,40.6,51,21-50,NA,LL
9A1-6,428,79.4,25,21-50,NA,LL
9A3-1,429,98.95,46,21-50,NA,LL
9A3-3,433,12.1,49,21-50,NA,LL
9A3-3,434,16.4,113,21-50,NA,LL
9A3-3,435,18.1,285,51-100,NA,LL
9A3-3,436,18.95,49,21-50,NA,LL
9A3-3,437,21.85,176,21-50,NA,LL
9A3-3,438,21.85,176,21-50,NA,LL
9A3-3,439,27.75,20,21-50,NA,LL
9A3-3,440,58.45,25,21-50,NA,LL
9A3-3,441,59.65,44,21-50,NA,LL
9A3-3,442,93.45,13,21-50,piney things,LL
9A3-4,443,10.8,123,11-20,NA,pine needles
9A3-4,444,12.6,20,21-50,NA,pine needles
9A3-4,445,13.8,104,21-50,NA,pine needles
9A3-4,446,32.5,90,21-50,NA,LL
9A3-4,447,44.47,100,21-50,NA,grass
9A3-4,448,44.93,0,11-20,NA,grass
9A3-4,449,49.4,0,21-50,pine,pine needles
9A3-4,450,81.1,23,11-20,NA,LL
9A3-4,451,83.6,100,21-50,NA,LL
9A3-4,452,84.7,54,21-50,NA,pine needles
9A3-4,453,85.6,46,11-20,NA,pine needles
9A3-4,454,91.25,40,21-50,NA,pine needles
9A3-4,455,92.1,138,21-50,NA,LL
9A3-4,456,96.35,18,21-50,NA,LL
7B1-1,457,5.95,22,21-50,NA,LL
7B1-1,458,8.6,41,21-50,NA,LL
7B1-2,459,17.4,39,21-50,NA,LL
7B1-2,460,41.9,43,21-50,NA,LL
7B1-4,461,71.3,15,51-100,NA,LL
7B1-5,462,55.8,39,21-50,NA,LL
7B1-6,463,42.5,203,21-50,NA,LL
7B1-6,464,94.7,177,11-20,NA,LL
7B5-2,465,63,76,NA,NA,LL
7B5-2,466,85.3,95,21-50,NA,LL
7B5-3,467,67.1,56,21-50,NA,LL
7B5-5,468,1.1,0,21-50,NA,LL
7B5-5,470,35.2,34,21-50,NA,LL
7B5-5,471,44.2,70,11-20,NA,LL
7B5-5,472,48.9,70,11-20,NA,LL
7B5-5,473,83,0,21-50,NA,LL
6C3-1,474,90.6,25,21-50,rubus,grass
6C3-4,476,31.15,33,21-50,NA,LL
2B1-6,477,99.6,18,11-20,NA,LL
2B4-1,479,52.2,16,21-50,NA,LL
2B4-1,480,60.7,28,21-50,NA,LL
2B4-4,483,16,23,11-20,NA,LL
2B4-4,484,70.3,74,11-20,NA,LL
2B4-4,485,74.8,0,21-50,NA,LL
2B4-4,486,88.45,0,21-50,NA,LL
2B4-4,487,90.4,19,11-20,NA,LL
2B4-4,488,92.4,30,21-50,NA,LL
2B4-4,489,72.8,13,21-50,NA,LL
2B4-4,490,93.65,6,21-50,NA,LL
2B4-4,491,98.6,30,51-100,NA,LL
2B4-4,492,97.75,12,51-100,NA,dirt
2B4-5,493,12.35,32,21-50,NA,LL
2B4-5,494,37.9,110,11-20,NA,LL
2B4-5,495,48.2,79,21-50,NA,LL
2B4-5,496,68.15,39,51-100,NA,LL
2B4-5,497,72.75,57,21-50,NA,LL
2B4-6,498,30.6,15,11-20,NA,LL
12B2-1,499,47.1,50.5,21-50,NA,LL
12B2-4,501,65.9,32,51-100,NA,LL
12B2-4,502,100,61,21-50,NA,LL
12B3-1,503,68.35,74,21-50,NA,LL
12B3-2,505,80.6,185,21-50,NA,LL
12B3-5,506,83.7,71,21-50,NA,LL
7A2-3,507,100,0,11-20,rubus,LL
7A2-5,508,58.7,13,11-20,NA,LL
7A4-2,509,13.9,169,11-20,NA,LL
7A4-2,510,13.5,29,21-50,ferns,LL
7A4-2,511,46.7,0,21-50,NA,LL
7A4-2,512,91.7,163,21-50,ferns,LL
7A4-2,513,95.6,73,21-50,NA,LL
7A4-3,516,97.4,105,21-50,ferns,LL
7A4-5,517,97.85,31,21-50,NA,LL
15A4-1,518,95.8,105,21-50,NA,LL
15A4-2,519,80.35,19,11-20,NA,LL
15A4-2,520,82.6,0,21-50,conifer regen,LL
15A4-2,521,90.15,54.5641791,NA,NA,NA
15A4-2,522,97.7,66,21-50,NA,needles
15A4-2,523,98.35,53,21-50,NA,needles
15A4-4,525,74.7,47,21-50,NA,grass
15A4-4,526,92.6,24,21-50,NA,grass
15A4-4,527,92.95,27,21-50,NA,grass
15A4-5,529,36.1,83,21-50,NA,LL
15A2-2,530,80.4,73,11-20,NA,LL
12B1-2,533,20.6,62,1-10,NA,LL
12B1-5,535,59.6,52,21-50,NA,LL
5B2-1,536,62,51,21-50,NA,LL
5B2-5,539,55,61,21-50,NA,LL
1B2-6,545,49,98,11-20,NA,LL
1B2-6,546,53,80,21-50,NA,LL
1B4-1,548,7,8,21-50,NA,LL
1B4-1,549,49,60,21-50,NA,LL
1B4-4,550,6.5,65,21-50,NA,NA
1B4-4,551,74.5,72,21-50,NA,NA
1B4-6,552,95,30,21-50,NA,LL
1B1-2,553,47.25,64,21-50,NA,LL
1B1-2,554,54,15,21-50,NA,LL
1B1-6,556,79.1,43,21-50,NA,LL
1B1-6,557,97,2.1,21-50,NA,LL
4B3-1,558,28.65,64,11-20,NA,LL
4B3-5,561,29.7,34,21-50,NA,LL
4B3-6,562,61,62,11-20,NA,LL
4B4-1,564,1,10,21-50,NA,LL
4B4-1,565,79.2,85,21-50,NA,LL
4B4-1,566,97.6,5,11-20,NA,LL
4B4-3,569,8.1,25.7,21-50,NA,LL
4B4-3,570,9.6,40,21-50,NA,LL
4B4-3,571,90.6,36,21-50,NA,LL
4B4-4,572,30.85,25.1,21-50,NA,LL
4B4-4,573,87.8,1.2,21-50,NA,LL
4B4-4,574,97.2,63,21-50,NA,LL
4B1-2,578,38.6,67,11-20,NA,NA
4B1-4,580,12.2,55,11-20,NA,NA
4B1-4,581,99.6,165,21-50,NA,NA
4B1-5,582,62.4,53,21-50,NA,NA
4B1-5,583,72.8,74,51-100,NA,NA
