Order,Name,General_category,SPDE,Model
1,habitat,Habitat,FALSE,~ lsig + Intercept + Conifer + Mixed + Wetland
2,habitat_elev,Habitat,FALSE,~ lsig + Intercept + Conifer + Mixed + Wetland + Elevation
3,habitat_elev_spat,Habitat,FALSE,~ lsig + Intercept + Conifer + Mixed + Wetland + Elevation + Northing + Easting
4,human,Human,FALSE,~ lsig + Intercept + Highway + MinorRoad
5,human_elev,Human,FALSE,~ lsig + Intercept + Highway + MinorRoad + Elevation
6,human_elev_spat,Human,FALSE,~ lsig + Intercept + Highway + MinorRoad + Elevation + Northing + Easting
7,habitat_spde,Habitat,TRUE,"~ mySPDE(map = coordinates, model = matern) + lsig + Intercept + Conifer + Mixed + Wetland"
8,habitat_elev_spde,Habitat,TRUE,"~ mySPDE(map = coordinates, model = matern) + lsig + Intercept + Conifer + Mixed + Wetland + Elevation"
9,habitat_elev_spatial_spde,Habitat,TRUE,"~ mySPDE(map = coordinates, model = matern) + lsig + Intercept + Conifer + Mixed + Wetland + Elevation + Northing + Easting"
10,human_spde,Human,TRUE,"~ mySPDE(map = coordinates, model = matern) + lsig + Intercept + Highway + MinorRoad"
11,human_elev_spde,Human,TRUE,"~ mySPDE(map = coordinates, model = matern) + lsig + Intercept + Highway + MinorRoad + Elevation"
12,human_elev_spatial_spde,Human,TRUE,"~ mySPDE(map = coordinates, model = matern) + lsig + Intercept + Highway + MinorRoad + Elevation + Northing + Easting"
13,habitat_human,Joint,FALSE,~ lsig + Intercept + Highway + MinorRoad + Conifer + Mixed + Wetland
14,habitat_human_spde,Joint,TRUE,"~ mySPDE(map = coordinates, model = matern) + lsig + Intercept + Highway + MinorRoad + Conifer + Mixed + Wetland"
15,habitat_human_elev,Joint,FALSE,~ lsig + Intercept + Highway + MinorRoad + Conifer + Mixed + Wetland + Elevation
16,habitat_human_elev_spde,Joint,TRUE,"~ mySPDE(map = coordinates, model = matern) + lsig + Intercept + Highway + MinorRoad + Conifer + Mixed + Wetland + Elevation"
17,habitat_human_elev_spat,Joint,FALSE,~ lsig + Intercept + Highway + MinorRoad + Conifer + Mixed + Wetland + Elevation + Northing + Easting
18,habitat_human_elev_spat_spde,Joint,TRUE,"~ mySPDE(map = coordinates, model = matern) + lsig + Intercept + Highway + MinorRoad + Conifer + Mixed + Wetland + Elevation + Northing + Easting"
